"","gnd_id","author","title","date","link"
"23319","http://d-nb.info/gnd/118850245","Theodor Däubler","Die Göttin mit der …",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb10829"
"25512","http://d-nb.info/gnd/118630458","Ernst Weiß","Georg Letham",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb20070"
"28500","http://d-nb.info/gnd/118535315","Sigmund Freud","Über libidinöse Typ…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb12317"
"28508","http://d-nb.info/gnd/118535315","Sigmund Freud","Über die weibliche …",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb12263"
"41082","http://d-nb.info/gnd/118553739","Ödön von Horváth","Ein Wochenendspiel",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb4786"
"41107","http://d-nb.info/gnd/118553739","Ödön von Horváth","Geschichten aus dem…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb4803"
"48562","http://d-nb.info/gnd/118629387","Jakob Wassermann","Etzel Andergast",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb10804"
"49531","http://d-nb.info/gnd/118601121","Joachim Ringelnatz","Kinder-Verwirr-Buch",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb1734"
"56338","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Weltbild, nach inte…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb7773"
"56343","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Der Mensch",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb7764"
"56344","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Parteiwirtschaft",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb7770"
"56346","http://d-nb.info/gnd/11862444X","Kurt Tucholsky","Schloß Gripsholm",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb7777"
"69119","http://d-nb.info/gnd/11860743X","René Schickele","Der Wolf in der Hür…",1931,"https://kolimo.uni-goettingen.de/text.html?id=gb16387"
